originalTitle,grossWorldwide,budget,averageRating
Avengers: Endgame,2799439100.0,356000000.0,8.4
Avengers: Infinity War,2052415039.0,321000000.0,8.4
Spider-Man: No Way Home,1921426073.0,200000000.0,8.2
Top Gun: Maverick,1495696292.0,170000000.0,8.2
Harry Potter and the Deathly Hallows: Part 2,1342505340.0,125000000.0,8.1
The Lord of the Rings: The Return of the King,1139427855.0,94000000.0,9.0
The Dark Knight Rises,1115050227.0,250000000.0,8.4
Jurassic Park,1104379926.0,63000000.0,8.2
Joker,1078958629.0,55000000.0,8.3
Toy Story 3,1067316101.0,200000000.0,8.3